"","v_bh","v_con","v_new"
"524",1405995.60225402,1395280.30380405,1384436.70468475
"525",1062497.94776386,1095334.07610449,1062497.94776386
"526",712385.97028465,663593.737256528,712385.97028465
"527",1366490.80655759,1363190.67305533,1353279.48042863
"528",1947471.11092128,1767039.33918414,1831619.14909313
"529",1633490.04073432,1560852.21264933,1578768.08333872
"530",913365.597256565,936456.905706612,913365.597256565
"531",1281014.26274911,1293225.62481488,1280307.38936734
"532",1299870.98823156,1311026.46505196,1295919.43629511
"533",1238128.44620649,1257522.28277832,1244292.50921341
"534",1298337.89419771,1307010.27030497,1294853.89458031
"535",770887.633774557,752749.527451528,770887.633774557
"536",953703.245102665,980903.064567514,953703.245102665
