"","v_bh","v_con","v_new"
"334",1000258.76865723,1030885.43794064,1000258.76865723
"335",829156.090585243,831499.771895777,829156.090585243
"336",1068268.92630711,1101452.70080023,1068268.92630711
"337",1439516.26226821,1420515.3442243,1443377.74140989
"338",1030308.81188032,1062352.44190119,1072305.30508901
"339",979857.376643146,1010346.57221631,979857.376643146
"340",1121080.06005884,1153055.10441695,1121080.06005884
"341",801767.359495669,795755.801904759,801767.359495669
"342",813812.682374796,813225.212540784,813812.682374796
"343",781916.717064674,768343.363521245,781916.717064674
"344",618381.631082114,485048.210741244,618381.631082114
"345",921288.508201063,944278.497605168,981958.264279574
"346",1054693.25380184,1086531.15641867,1054693.25380184
"347",1053904.49936644,1087522.38198494,1093870.55716379
"348",1098093.86596081,1129404.12877071,1129174.36928492
"349",1699038.70668102,1607029.87098106,1625202.79455576
"350",1553848.50162476,1503601.69293244,1507410.60551892
"351",2043630.37665256,1825909.64248626,1862531.86041415
"352",958430.266890503,986678.339421161,958430.266890503
"353",901517.455114537,920860.242819753,901517.455114537
"354",734421.528069938,698362.50151823,734421.528069938
"355",1011317.13672731,1042183.69988569,1011317.13672731
"356",1534307.72931578,1491628.24860135,1492052.22251816
"357",754401.135302393,728702.74463886,754401.135302393
"358",880173.775636163,897188.35633416,880173.775636163
"359",847814.37428318,856799.630164355,847814.37428318
"360",778072.117604859,762331.47724013,778072.117604859
"361",1073647.4135136,1106210.08331639,1073647.4135136
"362",1249027.30011155,1267785.39825378,1249027.30011155
"363",747471.053194479,717591.76955263,747471.053194479
"364",796151.854378653,788353.358991515,796151.854378653
"365",839100.050837247,845609.986846684,839100.050837247
"366",1264359.34605254,1280001.824136,1266785.61698096
"367",716892.226700414,669908.753343066,716892.226700414
"368",791134.468162577,781845.710226128,791134.468162577
"369",816991.490680427,817952.024057116,816991.490680427
"370",726432.12374797,685647.958358523,726432.12374797
"371",1045105.35912737,1076728.49272404,1045105.35912737
"372",910984.789468762,933569.979339533,910984.789468762
"373",814245.360511072,812502.998546602,814245.360511072
